depth, P velocity (m/s), S velocity (m/s), Density (g/m^3), QP, QS
0, 1700, 450, 2000, 90, 45
2, 1800, 650, 2100, 130, 65
6, 1800, 850, 2100, 170, 85
12, 1900, 950, 2100, 190, 95
20, 2000, 1150, 2200, 230, 115
30, 2400, 1200, 2200, 240, 120
100, 2800, 1400, 2300, 280, 140
300, 3100, 1600, 2400, 320, 160
500, 3400, 1800, 2450, 360, 180
700, 3700, 2100, 2500, 420, 210
1000, 4400, 2400, 2600, 480, 240
3000, 5100, 2800, 2700, 560, 280
5000, 5600, 3150, 2750, 630, 315
6000, 6150, 3600, 2825, 720, 360
11000, 6320, 3650, 2850, 730, 365
16000, 6550, 3700, 2900, 740, 370
21000, 6800, 3800, 2950, 760, 380
31000, 7800, 4500, 3200, 900, 450

